dimension,value,n,base_hits,base_hit_rate,corrected_hits,corrected_hit_rate,difference,difference_95ci_normal,gained_hits,lost_hits,both_prime,neither_prime,candidate_changed_rate,corrected_candidate_odd_rate
integer_adjustment,-4,1162,0,0.0,0,0.0,0.0,"[0.0, 0.0]",0,0,0,1162,1.0,1.0
integer_adjustment,-3,753,14,0.01859229747675963,0,0.0,-0.01859229747675963,"[-0.028246989215402182, -0.008937605738117074]",0,14,0,739,1.0,0.0
integer_adjustment,-2,7746,1109,0.1431706687322489,293,0.03782597469661761,-0.10534469403563129,"[-0.11419073811329039, -0.0964986499579722]",246,1062,47,6391,1.0,1.0
integer_adjustment,-1,3725,499,0.13395973154362417,0,0.0,-0.13395973154362417,"[-0.144899481922332, -0.12301998116491632]",0,499,0,3226,1.0,0.0
integer_adjustment,0,15371,1063,0.06915620323986728,1063,0.06915620323986728,0.0,"[0.0, 0.0]",0,0,1063,14308,0.0,1.0
integer_adjustment,1,1124,67,0.059608540925266906,0,0.0,-0.059608540925266906,"[-0.0734561494361863, -0.04576093241434751]",0,67,0,1057,1.0,0.0
integer_adjustment,2,119,7,0.058823529411764705,18,0.15126050420168066,0.09243697478991597,"[0.014886050888904864, 0.16998789869092706]",17,6,1,95,1.0,1.0
phase_a,13,2285,193,0.08446389496717724,55,0.024070021881838075,-0.06039387308533917,"[-0.07136986259373798, -0.04941788357694035]",17,155,38,2075,0.8770240700218819,0.175054704595186
phase_a,11,2509,272,0.10840972499003587,210,0.08369868473495416,-0.024711040255081706,"[-0.030786854298861303, -0.01863522621130211]",0,62,210,2237,0.37225986448784376,0.6277401355121562
phase_a,9,2783,369,0.1325907294286741,0,0.0,-0.1325907294286741,"[-0.14519292218764493, -0.11998853666970326]",0,369,0,2414,1.0,0.0
phase_a,5,4505,525,0.11653718091009989,293,0.06503884572697004,-0.05149833518312986,"[-0.06310922371910457, -0.03988744664715514]",246,478,47,3734,1.0,1.0
phase_a,3,4403,584,0.13263683851919145,0,0.0,-0.13263683851919145,"[-0.1426567438786919, -0.122616933159691]",0,584,0,3819,1.0,1.0
phase_a,1,13515,816,0.06037735849056604,816,0.06037735849056604,0.0,"[0.0, 0.0]",0,0,816,12699,0.0,1.0
