task,model,comparator,observed_gain_bits,bootstrap_mean_gain_bits,ci95_low_bits,ci95_high_bits,probability_gain_positive,replicates,blocks,seed
candidate,ara_parent_ara_i3_child,ara_parent_only,-7.368936337375512e-05,-7.370906648626947e-05,-9.584237732765638e-05,-5.029522187107073e-05,0.0,10000,40,20260717
candidate,ara_parent_ara_i3_child,ara_parent_raw_stencil_child,9.007816992483909e-05,9.014115604380946e-05,6.284378044490699e-05,0.00011632684770258723,1.0,10000,40,20260717
candidate,ara_parent_ara_i3_child,pnt29_reference,-0.000253481317046392,-0.0002535513439680017,-0.0002899793367153694,-0.00021751937496417928,0.0,10000,40,20260717
edge,ara_parent_ara_endpoints_child,ara_parent_only,-1.3901780281006587e-05,-1.386595425666966e-05,-2.2170733796312307e-05,-5.3011511057281385e-06,0.001,10000,40,20260717
edge,ara_parent_ara_endpoints_child,ara_parent_raw_edge_child,3.907217504549234e-05,3.9013506125116936e-05,2.1893591581608345e-05,5.606230116199563e-05,1.0,10000,40,20260717
edge,ara_parent_ara_endpoints_child,hl29_reference,-3.1266509306626145e-05,-3.134880378813514e-05,-4.589193761104327e-05,-1.6122361052811447e-05,0.0,10000,40,20260717
