stage,model,events,primes,prevalence,log_loss_bits,brier,auc,top_decile_precision,top_decile_lift,calibration_error,prediction_min,prediction_max
D_to_E,parent_empirical,56152,46903,0.8352863655791424,0.6454901313257753,0.13758729351119856,0.5,0.8320868945868946,0.9961696118551756,0.002059236380033802,0.837345601959176,0.837345601959176
pooled_D_E_to_fresh_F,parent_empirical,54275,45166,0.832169507139567,0.652816909969681,0.139682356241211,0.5,0.8277450257921887,0.994683196981602,0.004351748447911197,0.8365212555874784,0.8365212555874784
D_to_E,buchstab_parent,56152,46903,0.8352863655791424,0.6454981780112957,0.13758890235767868,0.5,0.8320868945868946,0.9961696118551756,-0.0024185328091509417,0.8328678327699912,0.8328678327699912
pooled_D_E_to_fresh_F,buchstab_parent,54275,45166,0.832169507139567,0.6527202449162731,0.13966390618534325,0.5,0.8277450257921887,0.994683196981602,0.000698325630424268,0.8328678327699912,0.8328678327699912
D_to_E,ara_compact,56152,46903,0.8352863655791424,0.6454430479614425,0.13757832919749083,0.5052400573107074,0.8413461538461539,1.0072547434230055,0.0013242714959980084,0.8321724553679508,0.8413131319760693
pooled_D_E_to_fresh_F,ara_compact,54275,45166,0.832169507139567,0.652846784357431,0.1396878047551514,0.5011930860607362,0.828481945467944,0.9955687373305729,0.004614620150662829,0.8307700888080047,0.8434837591685478
D_to_E,raw_compact,56152,46903,0.8352863655791424,0.6454349584691138,0.1375768264514641,0.5061175881292351,0.8427706552706553,1.0089601482795947,0.0011149406731988387,0.8321749389227334,0.8414418934771133
pooled_D_E_to_fresh_F,raw_compact,54275,45166,0.832169507139567,0.6529026340409784,0.139698370482011,0.49725413694162157,0.8314296241709653,0.9991108987264566,0.005005316207550181,0.8287571757569706,0.8424197643618963
D_to_E,ara_full,56152,46903,0.8352863655791424,0.64548239070254,0.1375854857824804,0.5042505293848656,0.8368945868945868,1.0019253532461643,0.0017806719870557819,0.8300602053633622,0.8451260770335506
pooled_D_E_to_fresh_F,ara_full,54275,45166,0.832169507139567,0.6529239087258831,0.1397024073779492,0.5003072235010245,0.8424834193072955,1.0123940039610206,0.004868493522364736,0.8262322766657625,0.8448439990165839
D_to_E,raw_full,56152,46903,0.8352863655791424,0.6454492597762755,0.13757934993404802,0.505233948587143,0.8390313390313391,1.0044834605310482,0.00206957885165282,0.8301026864993228,0.8432626409315142
pooled_D_E_to_fresh_F,raw_full,54275,45166,0.832169507139567,0.6529238728560445,0.13970235230159647,0.49645124857160167,0.8319823139277819,0.9997750539881849,0.004402317381735021,0.8286448304618362,0.842517734539038
D_to_E,ara_order_scrambled,56152,46903,0.8352863655791424,0.645607763340369,0.13760937825755887,0.4975428858154602,0.83244301994302,0.996595963069323,0.0016540834380277536,0.822507566082189,0.8490228508247882
pooled_D_E_to_fresh_F,ara_order_scrambled,54275,45166,0.832169507139567,0.6528410974671424,0.139686710225988,0.502502487171814,0.8364038319823139,1.0050882960820104,0.0045791181062126984,0.8254605966482167,0.8472331325098649
