block,ara_m1_minus_ara_m2_gain_bits
1,0.11747095839075274
2,0.11804592309729482
3,0.11840878144243862
4,0.11729102116326645
5,0.11768661537814966
6,0.11832115778356844
7,0.1180697346926728
8,0.1179580259964597
9,0.11814519622991625
10,0.11820681623826433
11,0.11890723226991438
12,0.11824918424254083
13,0.11760943544163409
14,0.11847113828194533
15,0.11744614552062545
16,0.11739713192999338
17,0.11785852390073602
18,0.11643125698038097
19,0.1176384707694321
20,0.11814961802240775
21,0.11861793809944014
22,0.11888878175663092
23,0.11871164648316217
24,0.11660518773193317
25,0.11621326396056932
26,0.11781381042281691
27,0.11813634612867409
28,0.116394369509793
29,0.1182639628952105
30,0.11780179167862564
31,0.11859388498282922
32,0.11732478019950211
33,0.1181562801415203
34,0.11665500139148301
35,0.11953730977273216
36,0.11648103540514375
37,0.1179900912675832
38,0.11759248750170422
39,0.11765649474424278
40,0.11835948716931491
41,0.1193565766376666
42,0.11797469926296981
43,0.11909245679609425
44,0.11764825255579824
45,0.11909044017282601
46,0.11911063166408566
47,0.11880142029283385
48,0.11975257239025977
49,0.1171516950478809
50,0.11840317707313576
51,0.11917300481651157
52,0.1165865639991249
53,0.11861094250670082
54,0.11668080557494888
55,0.11718541403965166
56,0.11743074688512933
57,0.11822481419121017
58,0.11851623508134329
59,0.11771698530602233
60,0.11919292371483238
61,0.11806423763391016
62,0.1169327184076304
63,0.11743559401678291
64,0.11905116772175947
65,0.11778801107827863
66,0.12033177034042528
67,0.11745403900118274
68,0.11736414280035751
69,0.11884126736021501
70,0.11677085991349288
71,0.11840563615550827
72,0.1181427956906377
73,0.11993926677212577
74,0.11708789135589194
75,0.11858908539174857
76,0.11921071936022266
77,0.11952981381976452
78,0.11727903506830206
79,0.11973825027795734
80,0.11692733074468063
81,0.11854358798624576
82,0.11869692685169486
83,0.11880718791795669
84,0.11796248545832495
85,0.11834808060003082
86,0.11760570577858526
87,0.11790503295592099
88,0.11892268648126494
89,0.11678146560035273
90,0.11719556655562255
91,0.12021491484183527
92,0.11778618943191155
93,0.11722844382256309
94,0.11750794140061696
95,0.11865551870426601
96,0.11812646741104292
97,0.11717859380699895
98,0.11735673046198719
99,0.1194461784746604
100,0.1170030156793166
