center_group,center_mod6,offset_lane_mod6,direction,center_count,offset_count_per_center,observation_count,parent_progress_mean,parent_progress_sd,parent_progress_median,prime_rate,survivor_rate,divisible_by_3_rate,divisible_by_5_rate
prime,1,0,all,22532,50,1126600,0.41886804105828074,0.30325702524665854,0.2836300537466788,0.13213474170069234,0.15875821054500266,0.0,0.2
prime,1,2,all,22532,50,1126600,0.09937837210270802,3.2392779608222616e-07,0.09937837193660426,0.0,0.0,1.0,0.2
prime,1,4,all,22532,50,1126600,0.4232681839683818,0.3050281931495777,0.2836309718090652,0.13566305698562045,0.16269838451979407,0.0,0.2
prime,1,0,negative,22532,25,563300,0.4190036994964844,0.3033432227388237,0.2836300577291212,0.13213030356825847,0.1588815906266643,0.0,0.2
prime,1,2,negative,22532,25,563300,0.09937837218697472,3.2392779174387116e-07,0.09937837200738828,0.0,0.0,1.0,0.2
prime,1,4,negative,22532,25,563300,0.4237669214758763,0.30496670270532855,0.28363115855738763,0.13573584235753594,0.16274809160305342,0.0,0.2
prime,1,0,positive,22532,25,563300,0.41873238262007706,0.30317074254437165,0.28363004887925103,0.13213917983312623,0.15863483046334104,0.0,0.2
prime,1,2,positive,22532,25,563300,0.0993783720184413,3.239277784994022e-07,0.09937837183885487,0.0,0.0,1.0,0.2
prime,1,4,positive,22532,25,563300,0.42276944646088727,0.30508885590107865,0.28363079081648207,0.13559027161370496,0.16264867743653472,0.0,0.2
matched_coprime_composite,1,0,all,22532,50,1126600,0.4245411335453504,0.30548689880031504,0.28363130031697975,0.1359692881235576,0.16333570033729808,0.0,0.2
matched_coprime_composite,1,2,all,22532,50,1126600,0.09937837264193665,3.250152329516126e-07,0.09937837172425214,0.0,0.0,1.0,0.2
matched_coprime_composite,1,4,all,22532,50,1126600,0.4236026939898931,0.3052840724409014,0.28363107757374634,0.13574383099591691,0.16327090360376353,0.0,0.2
matched_coprime_composite,1,0,negative,22532,25,563300,0.42449073278908883,0.3054964863835098,0.2836312781899798,0.13610687022900764,0.16317415231670512,0.0,0.2
matched_coprime_composite,1,2,negative,22532,25,563300,0.09937837272620337,3.2501522867215366e-07,0.0993783718354842,0.0,0.0,1.0,0.2
matched_coprime_composite,1,4,negative,22532,25,563300,0.42367162991732116,0.3053512483808609,0.28363104903046465,0.13581572874134565,0.16337830640866324,0.0,0.2
matched_coprime_composite,1,0,positive,22532,25,563300,0.42459153430161195,0.30547730260057854,0.28363131602717495,0.13583170601810757,0.163497248357891,0.0,0.2
matched_coprime_composite,1,2,positive,22532,25,563300,0.09937837255766992,3.2501521538323094e-07,0.09937837166695078,0.0,0.0,1.0,0.2
matched_coprime_composite,1,4,positive,22532,25,563300,0.42353375806246496,0.3052168661462349,0.2836311050107646,0.1356719332504882,0.16316350079886383,0.0,0.2
prime,5,0,all,22624,50,1131200,0.4192259698294686,0.3035381445475744,0.2836300695289584,0.13278465346534654,0.15946870579915134,0.0,0.2
prime,5,2,all,22624,50,1131200,0.4229460408998117,0.30483727265681787,0.28363092062343126,0.135112270155587,0.1620288189533239,0.0,0.2
prime,5,4,all,22624,50,1131200,0.09937837478171098,3.241975695767522e-07,0.09937837728922913,0.0,0.0,1.0,0.2
prime,5,0,negative,22624,25,565600,0.41936030121086354,0.3035857188959683,0.2836301173184202,0.13278995756718528,0.15963932107496465,0.0,0.2
prime,5,2,negative,22624,25,565600,0.4224633479634951,0.30497014087565605,0.2836307321088095,0.13503889674681754,0.16206859971711457,0.0,0.2
prime,5,4,negative,22624,25,565600,0.09937837486597775,3.2419756525301733e-07,0.09937837739709066,0.0,0.0,1.0,0.2
prime,5,0,positive,22624,25,565600,0.4190916384480736,0.3034905032836223,0.283630015987292,0.13277934936350777,0.15929809052333804,0.0,0.2
prime,5,2,positive,22624,25,565600,0.42342873383612833,0.3047035818480564,0.28363111887680886,0.13518564356435644,0.16198903818953325,0.0,0.2
prime,5,4,positive,22624,25,565600,0.09937837469744422,3.241975519975209e-07,0.09937837722855702,0.0,0.0,1.0,0.2
matched_coprime_composite,5,0,all,22624,50,1131200,0.42436740859797545,0.3054257122453136,0.28363131521584983,0.1359733026874116,0.16358380480905232,0.0,0.2
matched_coprime_composite,5,2,all,22624,50,1131200,0.4231448852479809,0.3047814740576146,0.28363108922709573,0.13474982319660536,0.16187411598302687,0.0,0.2
matched_coprime_composite,5,4,all,22624,50,1131200,0.0993783778904734,3.239759982365127e-07,0.09937838029249967,0.0,0.0,1.0,0.2
matched_coprime_composite,5,0,negative,22624,25,565600,0.42438937679769195,0.3053624112422107,0.283631355044605,0.13581152758132956,0.16342468175388966,0.0,0.2
matched_coprime_composite,5,2,negative,22624,25,565600,0.42303307872199036,0.3046283194276045,0.283631095422552,0.13465700141442716,0.1616018387553041,0.0,0.2
matched_coprime_composite,5,4,negative,22624,25,565600,0.09937837797474022,3.2397599390073827e-07,0.0993783804104733,0.0,0.0,1.0,0.2
matched_coprime_composite,5,0,positive,22624,25,565600,0.424345440398259,0.30548899855191775,0.2836312806977044,0.13613507779349363,0.163742927864215,0.0,0.2
matched_coprime_composite,5,2,positive,22624,25,565600,0.4232566917739713,0.3049345107703942,0.2836310848017718,0.1348426449787836,0.16214639321074964,0.0,0.2
matched_coprime_composite,5,4,positive,22624,25,565600,0.09937837780620656,3.2397598065430817e-07,0.09937838024193954,0.0,0.0,1.0,0.2
