transition,mode,score,singular_value,energy_fraction
11->13,1,-0.023364894958664163,0.029001348920614716,0.9801486570531072
11->13,2,0.002227927489097132,0.0040765015097101905,0.019365591535773927
11->13,3,0.00014423601961193437,0.0006425875136742286,0.0004811939043055676
11->13,4,-2.6921816885468096e-06,6.253683346869887e-05,4.557506813304591e-06
13->17,1,-0.01310130479369191,0.029001348920614716,0.9801486570531072
13->17,2,-0.0013689114380115342,0.0040765015097101905,0.019365591535773927
13->17,3,-0.0004685456420060912,0.0006425875136742286,0.0004811939043055676
13->17,4,2.4340561826139005e-05,6.253683346869887e-05,4.557506813304591e-06
17->19,1,-0.009258970104062313,0.029001348920614716,0.9801486570531072
17->19,2,-0.00222841229373146,0.0040765015097101905,0.019365591535773927
17->19,3,2.3648021999293427e-05,0.0006425875136742286,0.0004811939043055676
17->19,4,-4.8355752992189326e-05,6.253683346869887e-05,4.557506813304591e-06
19->23,1,-0.006147130070260131,0.029001348920614716,0.9801486570531072
19->23,2,-0.0021941886395710156,0.0040765015097101905,0.019365591535773927
19->23,3,0.0004147534638663714,0.0006425875136742286,0.0004811939043055676
19->23,4,3.119079833210281e-05,6.253683346869887e-05,4.557506813304591e-06
