gap,candidate_edges,survivor_edges,actual_survival_rate,hl29_expected_survivors,hl29_mean_probability,raw_edge_expected_survivors,raw_edge_mean_probability,ara_edge_expected_survivors,ara_edge_mean_probability,ara_edge_decompressed_expected_survivors,ara_edge_decompressed_mean_probability
2,331895,38817,0.11695566368881724,38710.3394249722,0.11663429525895899,38662.5980927249,0.11649045057239457,38638.59555677291,0.11641813090517455,38659.373236014566,0.11648073407557982
4,331870,38977,0.1174465905324374,38707.40478576569,0.11663423866503658,38686.84281495104,0.116572280757378,38632.54345092829,0.11640866438945459,38683.7918234333,0.11656308742409166
6,433318,50928,0.11753031261106162,50539.71359398068,0.11663423535136017,50410.83413115864,0.1163368106821287,50343.699692911374,0.11618187957322654,50405.64454389691,0.1163248342877446
8,128469,14736,0.11470471475608902,14983.887730486218,0.11663426764811914,15040.97639576743,0.11707864462062778,15069.864586513802,0.11730350969116131,15039.44461813731,0.1170667212957002
10,150859,17670,0.1171292398862514,17595.329658693765,0.11663427212624879,17461.380696234643,0.11574636379821318,17568.41933480399,0.1164558914934077,17463.3038555416,0.11575911185637978
12,106234,12473,0.11741062183481747,12390.529783105008,0.11663431465543055,12395.609887651164,0.1166821346052221,12359.544826357087,0.11634264761147173,12393.33760897045,0.11666074523194506
14,42337,4992,0.11791104707466282,4937.932767937144,0.11663397897671407,4962.0263270571895,0.11720306887727495,4931.195984703523,0.11647485614718858,4964.0889572600245,0.11725178820558907
16,18884,2238,0.11851302690108027,2202.52942787596,0.1166346869241665,2230.290394137677,0.11810476562898099,2224.6012157299665,0.11780349585521958,2229.342537384558,0.11805457198604946
18,21780,2552,0.11717171717171718,2540.3291701917387,0.116635866399988,2520.3803287480177,0.11571994163214039,2532.73844403518,0.11628734821098162,2517.6434246398558,0.11559428028649475
20,4011,473,0.11792570431313887,467.8124315024892,0.11663236886125385,437.7327857403559,0.10913308046381348,464.64511705842534,0.1158427118071367,434.5197208884251,0.10833201717487538
22,5181,574,0.11078942289133371,604.2757996584637,0.11663304374801461,623.8535776571757,0.12041180807897621,618.5493044973855,0.11938801476498466,624.3113317362292,0.12050016053584815
24,3240,325,0.10030864197530864,377.8822747928832,0.11663033172619852,389.97972545808085,0.12036411279570397,391.48678447423856,0.12082925446735758,388.15578664151485,0.11980116871651693
26,613,65,0.10603588907014681,71.50039845696458,0.11664012798852297,72.28648969148992,0.11792249541841748,72.626952399827,0.11847789951032138,72.5234213669743,0.1183090071239385
28,516,66,0.12790697674418605,60.18267466469245,0.11663309043545048,56.403034852057445,0.10930820707763071,60.24377084313521,0.11675149388204498,56.24147494325885,0.10899510647918383
30,208,23,0.11057692307692307,24.261436025919465,0.11664151935538204,23.91538808234838,0.1149778273189826,25.313598035958627,0.12169999055749339,24.15679507518275,0.11613843786145553
32,16,0,0.0,1.8646552461792547,0.11654095288620342,2.046800367101367,0.12792502294383543,1.899760603377434,0.11873503771108962,2.036241181688528,0.127265073855533
34,28,3,0.10714285714285714,3.2663579133037888,0.1166556397608496,3.968919860350374,0.14174713786965623,3.197079599476925,0.11418141426703303,3.968919860350374,0.14174713786965623
36,11,0,0.0,1.2830777730606566,0.11664343391460515,1.2304745265140813,0.11186132059218921,1.3610621761608417,0.12373292510553106,1.2538577849103416,0.1139870713554856
38,2,0,0.0,0.23254276456763856,0.11627138228381928,0.23254276456763853,0.11627138228381927,0.23993113172572714,0.11996556586286357,0.23254276456763853,0.11627138228381927
40,5,1,0.2,0.5818488023475563,0.11636976046951127,0.6202014378068091,0.12404028756136183,0.603304265015169,0.1206608530030338,0.6202014378068091,0.12404028756136183
42,1,0,0.0,0.11696035243277152,0.11696035243277152,0.11696035243277147,0.11696035243277147,0.11615884521644247,0.11615884521644247,0.11696035243277147,0.11696035243277147
