scale,anchor,initial_candidate,true_next_prime,initial_delta,final_delta,handover_events,candidate_states,Y0,Y3,residue,pair_representative,orientation,odds,ara_oriented,closeness,closeness_float,final_residue,final_pair_representative,final_closeness,final_closeness_float,delta_closeness,closeness_increase_steps,closeness_decrease_steps,candidate_path,closeness_path,gate_path,total_nonbase_gate_crossings
low,61000988,61000991,61000997,3,9,2,3,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,1,1,1/7,0.14285714285714285,-0.5714285714285714,0,2,61000991|61000993|61000997,5/7|3/7|1/7,23|733,985
low,61001272,61001273,61001279,1,7,1,2,0,1,11,3,right,3/11,11/7,3/7,0.42857142857142855,3,3,3/7,0.42857142857142855,0.0,0,0,61001273|61001279,3/7|3/7,31,985
low,61001378,61001379,61001383,1,5,1,2,0,1,5,5,left,5/9,5/7,5/7,0.7142857142857143,9,5,5/7,0.7142857142857143,0.0,0,0,61001379|61001383,5/7|5/7,3,985
low,61001459,61001461,61001467,2,8,1,2,0,1,3,3,left,3/11,3/7,3/7,0.42857142857142855,9,5,5/7,0.7142857142857143,0.2857142857142857,1,0,61001461|61001467,3/7|5/7,4493,985
low,61001894,61001895,61001903,1,9,2,3,0,1,3,3,left,3/11,3/7,3/7,0.42857142857142855,11,3,3/7,0.42857142857142855,0.0,1,1,61001895|61001897|61001903,3/7|5/7|3/7,3|11,985
low,61002108,61002111,61002119,3,11,2,3,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,3,3,3/7,0.42857142857142855,-0.2857142857142857,0,1,61002111|61002113|61002119,5/7|3/7|3/7,3|89,985
low,61002710,61002713,61002713,3,3,0,1,1,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,9,5,5/7,0.7142857142857143,0.0,0,0,61002713,5/7,,985
low,61002870,61002871,61002911,1,41,1,2,0,1,13,1,right,1/13,13/7,1/7,0.14285714285714285,11,3,3/7,0.42857142857142855,0.2857142857142857,1,0,61002871|61002911,1/7|3/7,2243,985
low,61003327,61003329,61003331,2,4,1,2,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,11,3,3/7,0.42857142857142855,-0.2857142857142857,0,1,61003329|61003331,5/7|3/7,3,985
low,61003604,61003605,61003643,1,39,4,5,0,0,5,5,left,5/9,5/7,5/7,0.7142857142857143,1,1,1/7,0.14285714285714285,-0.5714285714285714,0,1,61003605|61003609|61003619|61003637|61003643,5/7|5/7|5/7|5/7|1/7,3|1093|1669|4733,985
low,61003625,61003627,61003643,2,18,2,3,0,1,13,1,right,1/13,13/7,1/7,0.14285714285714285,1,1,1/7,0.14285714285714285,0.0,1,1,61003627|61003637|61003643,1/7|5/7|1/7,43|4733,985
low,61003810,61003811,61003819,1,9,2,3,0,1,1,1,left,1/13,1/7,1/7,0.14285714285714285,9,5,5/7,0.7142857142857143,0.5714285714285714,2,0,61003811|61003813|61003819,1/7|3/7|5/7,11|13,985
low,61004265,61004267,61004291,2,26,2,3,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,5,5,5/7,0.7142857142857143,0.0,1,1,61004267|61004287|61004291,5/7|1/7|5/7,1549|1721,985
low,61004499,61004501,61004501,2,2,0,1,1,1,5,5,left,5/9,5/7,5/7,0.7142857142857143,5,5,5/7,0.7142857142857143,0.0,0,0,61004501,5/7,,985
low,61005182,61005183,61005211,1,29,4,5,0,0,1,1,left,1/13,1/7,1/7,0.14285714285714285,1,1,1/7,0.14285714285714285,0.0,2,2,61005183|61005185|61005187|61005199|61005211,1/7|3/7|5/7|3/7|1/7,3|5|197|887,985
low,61005436,61005437,61005457,1,21,1,2,0,1,3,3,left,3/11,3/7,3/7,0.42857142857142855,9,5,5/7,0.7142857142857143,0.2857142857142857,1,0,61005437|61005457,3/7|5/7,2659,985
low,61006226,61006227,61006271,1,45,6,7,0,0,9,5,right,5/9,9/7,5/7,0.7142857142857143,11,3,3/7,0.42857142857142855,-0.2857142857142857,2,2,61006227|61006229|61006237|61006241|61006259|61006261|61006271,5/7|3/7|5/7|5/7|1/7|1/7|3/7,3|37|41|269|491|1723,985
low,61006373,61006375,61006391,2,18,2,3,0,1,3,3,left,3/11,3/7,3/7,0.42857142857142855,5,5,5/7,0.7142857142857143,0.2857142857142857,1,0,61006375|61006381|61006391,3/7|5/7|5/7,5|67,985
low,61006550,61006551,61006559,1,9,2,3,0,1,11,3,right,3/11,11/7,3/7,0.42857142857142855,5,5,5/7,0.7142857142857143,0.2857142857142857,1,1,61006551|61006553|61006559,3/7|1/7|5/7,3|113,985
low,61006572,61006573,61006579,1,7,1,2,0,1,5,5,left,5/9,5/7,5/7,0.7142857142857143,11,3,3/7,0.42857142857142855,-0.2857142857142857,0,1,61006573|61006579,5/7|3/7,3923,985
low,61007135,61007137,61007147,2,12,2,3,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,5,5,5/7,0.7142857142857143,0.0,1,1,61007137|61007143|61007147,5/7|1/7|5/7,61|313,985
low,61007365,61007367,61007369,2,4,1,2,0,1,1,1,left,1/13,1/7,1/7,0.14285714285714285,3,3,3/7,0.42857142857142855,0.2857142857142857,1,0,61007367|61007369,1/7|3/7,3,985
low,61007599,61007601,61007623,2,24,2,3,0,1,11,3,right,3/11,11/7,3/7,0.42857142857142855,5,5,5/7,0.7142857142857143,0.2857142857142857,1,1,61007601|61007603|61007623,3/7|1/7|5/7,3|149,985
low,61007690,61007691,61007693,1,3,1,2,0,1,3,3,left,3/11,3/7,3/7,0.42857142857142855,5,5,5/7,0.7142857142857143,0.2857142857142857,1,0,61007691|61007693,3/7|5/7,3,985
low,61007782,61007783,61007797,1,15,2,3,0,1,11,3,right,3/11,11/7,3/7,0.42857142857142855,11,3,3/7,0.42857142857142855,0.0,0,0,61007783|61007789|61007797,3/7|3/7|3/7,31|7243,985
low,61007903,61007907,61007911,4,8,2,3,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,13,1,1/7,0.14285714285714285,-0.5714285714285714,0,2,61007907|61007909|61007911,5/7|3/7|1/7,3|29,985
low,61008042,61008043,61008043,1,1,0,1,1,1,5,5,left,5/9,5/7,5/7,0.7142857142857143,5,5,5/7,0.7142857142857143,0.0,0,0,61008043,5/7,,985
low,61008281,61008285,61008289,4,8,2,3,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,13,1,1/7,0.14285714285714285,-0.5714285714285714,0,2,61008285|61008287|61008289,5/7|3/7|1/7,3|41,985
low,61008909,61008911,61008917,2,8,1,2,0,1,5,5,left,5/9,5/7,5/7,0.7142857142857143,11,3,3/7,0.42857142857142855,-0.2857142857142857,0,1,61008911|61008917,5/7|3/7,1783,985
low,61008924,61008925,61008929,1,5,1,2,0,1,5,5,left,5/9,5/7,5/7,0.7142857142857143,9,5,5/7,0.7142857142857143,0.0,0,0,61008925|61008929,5/7|5/7,5,985
low,61008925,61008929,61008929,4,4,0,1,1,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,9,5,5/7,0.7142857142857143,0.0,0,0,61008929,5/7,,985
low,61008938,61008939,61009031,1,93,7,8,0,0,5,5,left,5/9,5/7,5/7,0.7142857142857143,13,1,1/7,0.14285714285714285,-0.5714285714285714,2,3,61008939|61008943|61008947|61008973|61008979|61008991|61009001|61009031,5/7|5/7|1/7|3/7|3/7|1/7|3/7|1/7,3|19|73|257|367|1399|2053,985
low,61009207,61009209,61009231,2,24,3,4,0,0,9,5,right,5/9,9/7,5/7,0.7142857142857143,3,3,3/7,0.42857142857142855,-0.2857142857142857,1,2,61009209|61009211|61009213|61009231,5/7|3/7|1/7|3/7,3|61|2137,985
low,61009398,61009399,61009439,1,41,5,6,0,0,3,3,left,3/11,3/7,3/7,0.42857142857142855,1,1,1/7,0.14285714285714285,-0.2857142857142857,1,2,61009399|61009409|61009411|61009423|61009427|61009439,3/7|1/7|1/7|1/7|3/7|1/7,11|23|37|193|1217,985
low,61009768,61009769,61009771,1,3,1,2,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,11,3,3/7,0.42857142857142855,-0.2857142857142857,0,1,61009769|61009771,5/7|3/7,239,985
low,61010545,61010547,61010549,2,4,1,2,0,1,3,3,left,3/11,3/7,3/7,0.42857142857142855,5,5,5/7,0.7142857142857143,0.2857142857142857,1,0,61010547|61010549,3/7|5/7,3,985
low,61010656,61010657,61010659,1,3,1,2,0,1,1,1,left,1/13,1/7,1/7,0.14285714285714285,3,3,3/7,0.42857142857142855,0.2857142857142857,1,0,61010657|61010659,1/7|3/7,89,985
low,61010761,61010763,61010777,2,16,4,5,0,0,9,5,right,5/9,9/7,5/7,0.7142857142857143,9,5,5/7,0.7142857142857143,0.0,2,2,61010763|61010765|61010767|61010771|61010777,5/7|3/7|1/7|3/7|5/7,3|5|19|317,985
low,61010808,61010809,61010819,1,11,2,3,0,1,13,1,right,1/13,13/7,1/7,0.14285714285714285,9,5,5/7,0.7142857142857143,0.5714285714285714,2,0,61010809|61010813|61010819,1/7|3/7|5/7,29|199,985
low,61010816,61010819,61010819,3,3,0,1,1,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,9,5,5/7,0.7142857142857143,0.0,0,0,61010819,5/7,,985
low,61010877,61010879,61010921,2,44,1,2,0,1,13,1,right,1/13,13/7,1/7,0.14285714285714285,13,1,1/7,0.14285714285714285,0.0,0,0,61010879|61010921,1/7|1/7,659,985
