scale,pair_representative,odds,closeness,n,mean_handovers,median_handovers,base_prime_rate_Y0,three_state_rate_Y3,mean_delta_closeness
low,1,1/13,1/7,565,1.9256637168141593,2,0.1256637168141593,0.7026548672566372,0.26245259165613144
low,3,3/11,3/7,591,2.0,2,0.1218274111675127,0.6751269035532995,0.00145032632342277
low,5,5/9,5/7,844,1.9312796208530805,2.0,0.1338862559241706,0.6966824644549763,-0.2802979011509817
middle,1,1/13,1/7,580,2.2327586206896552,2.0,0.07758620689655173,0.6362068965517241,0.2600985221674877
middle,3,3/11,3/7,575,2.196521739130435,2,0.10782608695652174,0.6295652173913043,0.001987577639751553
middle,5,5/9,5/7,845,2.2650887573964495,2,0.07692307692307693,0.6189349112426036,-0.28605240912933216
high,1,1/13,1/7,565,2.3150442477876108,2,0.07964601769911504,0.5823008849557522,0.26396965865992417
high,3,3/11,3/7,592,2.3783783783783785,2.0,0.09797297297297297,0.5692567567567568,0.005791505791505791
high,5,5/9,5/7,843,2.3226571767497033,2,0.09727164887307237,0.5907473309608541,-0.2724961870869344
pooled,1,1/13,1/7,1710,2.1584795321637427,2.0,0.09415204678362574,0.6403508771929824,0.2621553884711779
pooled,3,3/11,3/7,1758,2.1916951080773606,2.0,0.10921501706484642,0.6245733788395904,0.0030879245896310737
pooled,5,5/9,5/7,2532,2.1729857819905214,2.0,0.10268562401263823,0.6354660347551343,-0.2796208530805687
