comparison,first_model,second_model,gain_bits_per_event,ci95_low,ci95_high,positive_blocks,blocks,draws
ara_full_vs_parent_empirical,ara_full,parent_empirical,-0.0001069987562022001,-0.00024111061063660706,3.431445119186163e-05,40,100,2000
ara_full_vs_raw_full,ara_full,raw_full,-3.586983874079444e-08,-7.417006028986256e-05,7.062192326771242e-05,55,100,2000
ara_full_vs_ara_order_scrambled,ara_full,ara_order_scrambled,-8.281125874078406e-05,-0.0002081058219511054,3.2615865294091416e-05,44,100,2000
ara_compact_vs_parent_empirical,ara_compact,parent_empirical,-2.9874387750050962e-05,-0.00012575807404697828,5.732895623646442e-05,50,100,2000
ara_compact_vs_raw_compact,ara_compact,raw_compact,5.5849683547335406e-05,1.1362257266301885e-05,0.0001036802476865385,59,100,2000
raw_full_vs_parent_empirical,raw_full,parent_empirical,-0.0001069628863634593,-0.00022014801285819967,1.0932475344607242e-05,39,100,2000
