cell,progress,q_end,candidate_before,candidate_deaths,candidate_survival,candidate_k,edge_before,edge_deaths,edge_survival,edge_j,prediction__candidate__independent_sieve,prediction__candidate__ara_additive_previous_rule,prediction__candidate__ara_multiplicative_primary,prediction__candidate__ara_log_gradient_secondary,prediction__candidate__buchstab_established,prediction__edge__independent_pair,prediction__edge__ara_additive_edge_previous_rule,prediction__edge__ara_multiplicative_primary,prediction__edge__ara_log_gradient_secondary,prediction__edge__buchstab_squared,prediction__edge__buchstab_plus_source_relation
1,0.041666666666666664,43,15794726,1622805,0.8972565272737242,-1.567214432847168e-06,15794725,3118000,0.8025923211705174,-0.0030814401855460334,0.8972579334682056,0.8972554651060977,0.8972555225098676,0.8972210485860161,0.897258098136807,0.8050717991716348,0.8029729989644817,0.8030694824786018,0.802518088270973,0.80507209467208,0.8030740930055031
2,0.08333333333333333,59,14171921,793879,0.8469942435215401,-6.401051412563599e-07,12676725,1393600,0.7143603323261405,-0.00424501548519053,0.8469947856870835,0.8469948896426626,0.8469948878807035,0.8469134958301946,0.8469951284323628,0.7174001669811085,0.7145822930320922,0.7146770046816281,0.7144262569702938,0.7174007475881548,0.7146774106268498
3,0.125,83,13378042,1082867,0.7784354727014574,-2.914534259916245e-06,11283125,1764568,0.6026415148095329,-0.005494406151827913,0.7784377414816179,0.7784174196408116,0.7784179186214993,0.7783616130951269,0.7784334956099274,0.6059653173630022,0.6026430848849578,0.6028042295358013,0.6020591418835063,0.6059587070874908,0.6028283553125441
4,0.16666666666666666,113,12295175,818113,0.726638879332253,4.8022231820829855e-06,9518557,1230335,0.524746204824712,-0.0061892485582615035,0.7266353898585602,0.7266538011407622,0.7266529522855721,0.7265940059131805,0.7266308587228713,0.5279989897949018,0.524664374897945,0.5249647724882285,0.5245546017758694,0.5279924048483373,0.5249328503285263
5,0.20833333333333334,167,11477062,690072,0.6829488526739875,3.7748733346164277e-05,8288222,969573,0.4633603307433336,-0.0065796584501664895,0.6829230727064425,0.6829651250231447,0.6829632153792462,0.6830542774826497,0.6829596508918184,0.46638392323480893,0.4632433829726623,0.4635221377033464,0.4634413930888193,0.4664338847462745,0.4635172993328938
6,0.25,233,10786990,626255,0.6432992253236935,7.580939975146325e-05,7318649,826831,0.41101177766627783,-0.006842799197422181,0.6432504590440558,0.6432590315448695,0.6432585804928485,0.6436734377447694,0.6433216776529604,0.4137711530603885,0.4106162124067694,0.4109394797660914,0.4109805829539089,0.41386278093821954,0.41102010173252734
7,0.2916666666666667,317,10160735,539718,0.609128452117498,-4.949338065539722e-05,6491818,672269,0.3684488967044377,-0.007001035205450991,0.6091586006899179,0.6089402531113125,0.6089518253917783,0.609236591942398,0.6091565942588156,0.3710742007944988,0.3678677575790837,0.3681986297336534,0.3682037776428403,0.37107175632899936,0.3684462956065342
8,0.3333333333333333,457,9621017,532365,0.5754232140525894,-0.0005199816416020305,5819549,626831,0.32876279897244176,-0.007119795055133905,0.575722501365259,0.5752031914108393,0.5752348072136604,0.5751725536532958,0.5754115955695297,0.3314563985782707,0.32805818562506917,0.32845935960015704,0.3281087683048751,0.331098504315872,0.3286612831016041
9,0.375,641,9088652,458703,0.5463816846205499,-0.0009510677078738623,5192718,511881,0.29635444745001893,-0.007324100674122689,0.5469015777845779,0.5463296755060498,0.5463681904024772,0.5460865868564178,0.5463314980057737,0.29910133578326076,0.29589723654247063,0.29631426639757236,0.29549145366991547,0.29847810571323274,0.29627446863583784
10,0.4166666666666667,887,8629949,420609,0.5197519729053862,-0.0008875089478152093,4680837,445071,0.2681759891356133,-0.007304725354466274,0.520213462189627,0.5199219589960163,0.5199430888973284,0.5192529842158845,0.5196674521528015,0.27062204624331854,0.2680089758308326,0.2683740682409718,0.26752583126232454,0.27005426082698425,0.26808959808160215
11,0.4583333333333333,1259,8209340,374585,0.49603614522974315,0.00015792577961013727,4235766,378438,0.24421621775624458,-0.007488344801889131,0.4959578145201749,0.4967972985154791,0.496736984909916,0.4955260990793731,0.49596076438956727,0.24597415378362822,0.2446790770835389,0.24485848436609362,0.24344140108599657,0.24597707981388386,0.2440938315011851
12,0.5,1759,7834755,332734,0.47496999947957314,0.0027621601414285603,3857328,321287,0.2238748063040034,-0.007661011933754514,0.473659866510145,0.47615573685285306,0.47596377937675044,0.4748400693048842,0.4748918736668897,0.2243536691424084,0.2248589667780071,0.22478423077314028,0.22351060060161468,0.2255222916748491,0.2237729093446381
13,0.5416666666666666,2467,7502021,286788,0.4568127994116517,0.006964730122642733,3536041,265135,0.20708850581444121,-0.007645810165178224,0.45364227528578643,0.4578392029015849,0.4575138302126973,0.4572303685570496,0.4568185520034452,0.20579131392646524,0.20798816163762499,0.20766073805665128,0.20731891482544426,0.20868318945452435,0.20703005863764495
