landmark,value,mean_absolute_event_distance,median_absolute_event_distance,event_fraction_within_0_025,event_fraction_within_0_05,window_exposures,window_transition_events,window_transition_hazard,mean_distance_rank,hazard_rank
3/2,1.5,0.31753349928586894,0.33913645184007146,0.0,0.0,0,0,,8,
8/5,1.6,0.2175422962340189,0.23913645184007137,0.0006939625260235947,0.0016032927325372705,66,29,0.4393939393939394,7,
phi,1.618033988749895,0.199523201113007,0.22110246309017656,0.0011486276292804326,0.0030390772691378113,126,48,0.38095238095238093,6,3
13/8,1.625,0.1925664549112516,0.21413645184007146,0.001340065567493838,0.003948407475651487,154,56,0.36363636363636365,5,5
5/3,1.6666666666666667,0.15103120905010295,0.17246978517340472,0.007657517528536217,0.021847854698604896,730,320,0.4383561643835616,3,2
7/4,1.75,0.0715688602793882,0.0892895122215367,0.12316638349804973,0.3145564622269018,10257,5147,0.5018036462903384,2,1
9/5,1.8,0.03998719686431314,0.0438080700824377,0.2222833760080404,0.7544569144990309,25166,9289,0.3691091154732576,1,4
2,2.0,0.18246650071413106,0.16086354815992854,0.0,0.0,0,0,,4,
