ara_numerator,ara_denominator,ara_value,mirror_numerator,mirror_denominator,mirror_value,distance_from_ridge,count,share,mirror_count,count_minus_mirror,r7_count,r8_count,r9_count,r10_count,r11_count
2,91,0.02197802197802198,180,91,1.978021978021978,-0.978021978021978,139,3.1334246715353775e-06,168,-29,0,0,0,5,134
1,45,0.022222222222222223,89,45,1.9777777777777779,-0.9777777777777777,125,2.817827942028217e-06,135,-10,0,0,0,5,120
1,44,0.022727272727272728,87,44,1.9772727272727273,-0.9772727272727273,99,2.2317197300863478e-06,152,-53,0,0,0,8,91
2,87,0.022988505747126436,172,87,1.9770114942528736,-0.9770114942528736,93,2.0964639888689935e-06,124,-31,0,0,1,3,89
2,85,0.023529411764705882,168,85,1.9764705882352942,-0.9764705882352941,301,6.785329684403946e-06,287,14,0,0,0,20,281
1,42,0.023809523809523808,83,42,1.9761904761904763,-0.9761904761904762,203,4.576152577853824e-06,206,-3,0,0,0,15,188
1,41,0.024390243902439025,81,41,1.975609756097561,-0.975609756097561,196,4.418354213100244e-06,187,9,0,0,2,8,186
2,81,0.024691358024691357,160,81,1.9753086419753085,-0.9753086419753086,301,6.785329684403946e-06,307,-6,0,0,0,13,288
2,79,0.02531645569620253,156,79,1.9746835443037976,-0.9746835443037974,276,6.221764095998303e-06,265,11,0,0,1,20,255
1,39,0.02564102564102564,77,39,1.9743589743589745,-0.9743589743589743,424,9.558072379359712e-06,390,34,0,0,1,35,388
4,153,0.026143790849673203,302,153,1.973856209150327,-0.9738562091503268,1,2.2542623536225736e-08,1,0,0,0,0,0,1
1,38,0.02631578947368421,75,38,1.9736842105263157,-0.9736842105263158,521,1.174470686237361e-05,479,42,0,0,1,26,494
2,75,0.02666666666666667,148,75,1.9733333333333334,-0.9733333333333334,608,1.3705915110025248e-05,567,41,0,0,1,38,569
4,149,0.026845637583892617,294,149,1.9731543624161074,-0.9731543624161074,1,2.2542623536225736e-08,0,1,0,0,0,0,1
4,147,0.027210884353741496,290,147,1.9727891156462585,-0.9727891156462585,3,6.762787060867721e-08,0,3,0,0,0,0,3
2,73,0.0273972602739726,144,73,1.9726027397260273,-0.9726027397260274,384,8.656367437910683e-06,422,-38,0,0,0,28,356
1,36,0.027777777777777776,71,36,1.9722222222222223,-0.9722222222222222,479,1.0797916673852127e-05,447,32,0,0,2,23,454
4,143,0.027972027972027972,282,143,1.972027972027972,-0.972027972027972,1,2.2542623536225736e-08,2,-1,0,0,0,0,1
1,35,0.02857142857142857,69,35,1.9714285714285715,-0.9714285714285714,1088,2.4526374407413603e-05,1066,22,0,1,3,70,1014
2,69,0.028985507246376812,136,69,1.9710144927536233,-0.9710144927536232,646,1.4562534804401826e-05,705,-59,0,0,0,38,608
4,137,0.029197080291970802,270,137,1.9708029197080292,-0.9708029197080292,2,4.508524707245147e-08,6,-4,0,0,0,1,1
4,135,0.02962962962962963,266,135,1.9703703703703703,-0.9703703703703703,6,1.3525574121735442e-07,1,5,0,0,0,0,6
2,67,0.029850746268656716,132,67,1.9701492537313432,-0.9701492537313433,791,1.783121521715456e-05,796,-5,0,1,3,48,739
1,33,0.030303030303030304,65,33,1.9696969696969697,-0.9696969696969697,1484,3.345325332775899e-05,1534,-50,0,3,4,80,1397
4,131,0.030534351145038167,258,131,1.9694656488549618,-0.9694656488549618,2,4.508524707245147e-08,1,1,0,0,0,0,2
4,129,0.031007751937984496,254,129,1.9689922480620154,-0.9689922480620154,4,9.017049414490294e-08,2,2,0,0,0,0,4
1,32,0.03125,63,32,1.96875,-0.96875,1187,2.675809413749995e-05,1300,-113,0,0,5,70,1112
2,63,0.031746031746031744,124,63,1.9682539682539681,-0.9682539682539683,1424,3.210069591558545e-05,1387,37,0,0,6,81,1337
4,125,0.032,246,125,1.968,-0.968,5,1.1271311768112868e-07,4,1,0,0,0,0,5
