bin,ara_low,ara_high,R9_share,R10_share,R11_share
0,0.0,0.08333333333333333,0.0,0.0,0.0
1,0.08333333333333333,0.16666666666666666,0.0,0.0,0.0
2,0.16666666666666666,0.25,0.0,0.010848636826773728,0.008916675062150435
3,0.25,0.3333333333333333,0.02566914085899591,0.010102654857473454,0.020720602800885377
4,0.3333333333333333,0.4166666666666667,0.01837092986379851,0.045977961863946155,0.02622402923487728
5,0.4166666666666667,0.5,0.03726834242932384,0.020901313886365687,0.03428209772880146
6,0.5,0.5833333333333334,0.04809854761248386,0.06103141277331176,0.06227846277353835
7,0.5833333333333334,0.6666666666666666,0.0840610471202018,0.05542814159976858,0.06301030745861702
8,0.6666666666666666,0.75,0.08133535911716727,0.07256154408824836,0.1052030914598893
9,0.75,0.8333333333333334,0.060135102923222654,0.11364743957062393,0.08443374967755389
10,0.8333333333333334,0.9166666666666666,0.1190099637887685,0.0906889750359748,0.0932538334006872
11,0.9166666666666666,1.0,0.09955083149029842,0.11442935027941505,0.0948694394401563
12,1.0,1.0833333333333333,0.12163201346469146,0.10253739813281104,0.07964164891877865
13,1.0833333333333333,1.1666666666666667,0.09374915793859222,0.08664814340541806,0.1111261696437259
14,1.1666666666666667,1.25,0.07821169993802428,0.0790347053198487,0.08591919933100935
15,1.25,1.3333333333333333,0.061944628114590825,0.06772060706672244,0.055033732365589276
16,1.3333333333333333,1.4166666666666667,0.04149678617547627,0.036082818508275584,0.04288802378604155
17,1.4166666666666667,1.5,0.02050380663575481,0.02312014386235792,0.022156350852675054
18,1.5,1.5833333333333333,0.007296138228655168,0.007507724678990532,0.008197521764653087
19,1.5833333333333333,1.6666666666666667,0.0015421383074202969,0.0016163326522226993,0.0017062949966370356
20,1.6666666666666667,1.75,0.00012436599253389492,0.00011400465415363866,0.0001371227165223551
21,1.75,1.8333333333333333,0.0,6.909372979008404e-07,1.646587211149655e-06
22,1.8333333333333333,1.9166666666666667,0.0,0.0,0.0
23,1.9166666666666667,2.0,0.0,0.0,0.0
