split,target,bounded_target,model,rows,cells,cell_mean_mae,cell_median_mae,overall_mae,rmse,bias
holdout,generation,True,pure,87,12,0.5976083680629135,0.5454545454545454,0.5726227795193313,0.6304396604586705,-0.33855799373040757
holdout,generation,True,relational,87,12,0.5705493531809317,0.5081339712918662,0.4449650772699767,0.5035902887777547,-0.10667106638068437
holdout,generation,True,fixed_025,87,12,0.5479296166796164,0.5378588516746403,0.5338365506242089,0.5824355775066946,-0.3220673156244836
holdout,generation,True,size_child,87,12,0.5527413391362596,0.5585047359342036,0.5605129673676531,0.6183932448536563,-0.37145911047211866
holdout,generation,True,rpl_child,87,12,0.5556211292705858,0.5546065375996209,0.5326375772265587,0.5782405204940753,-0.3020841395972109
holdout,generation,True,reverse_control,87,12,0.6103163273019736,0.6309197235513031,0.6605510641808288,0.7599018097342674,-0.511268767530111
holdout,generation,False,pure,87,12,0.6023674978220432,0.5454545454545454,0.58098223615465,0.6423808664207392,-0.3469174503657263
holdout,generation,False,relational,87,12,0.5753084829400615,0.5268003925898652,0.4533245339052954,0.5141308021083596,-0.11503052301600306
holdout,generation,False,fixed_025,87,12,0.5526887464387461,0.5378588516746403,0.5421960072595274,0.5950951461644928,-0.3304267722598023
holdout,generation,False,size_child,87,12,0.5575004688953893,0.5585047359342036,0.5688724240029718,0.6312219915840847,-0.37981856710743744
holdout,generation,False,rpl_child,87,12,0.5603802590297157,0.5546065375996209,0.5409970338618774,0.5909053283953521,-0.3104435962325297
holdout,generation,False,reverse_control,87,12,0.6150754570611033,0.6309197235513031,0.6689105208161475,0.7727363598540729,-0.5196282241654298
holdout,clock,True,pure,87,12,0.6720309338012687,0.7910685805422655,0.7466534675246103,0.8435083779453572,-0.6214816036957584
holdout,clock,True,relational,87,12,0.6017325072588225,0.6071929824561391,0.5831820931639428,0.6619285891449239,-0.3895946763460351
holdout,clock,True,fixed_025,87,12,0.6103240059161107,0.696929824561404,0.6979128856624305,0.8011425895862606,-0.6049909255898345
holdout,clock,True,size_child,87,12,0.6215436415279336,0.6899176950989964,0.7298271283466852,0.8444793012277105,-0.6543827204374695
holdout,clock,True,rpl_child,87,12,0.6125652610513809,0.6963008568111833,0.6922033543704084,0.7914647460486409,-0.5850077495625619
holdout,clock,True,reverse_control,87,12,0.7463497383353843,0.8019138755980859,0.8809987350822194,0.9903786370677073,-0.794192377495462
holdout,clock,False,pure,87,12,0.6920039432479622,0.7963317384370023,0.7776274542154752,0.8800616091496278,-0.652455590386623
holdout,clock,False,relational,87,12,0.6217055167055159,0.6208771929824546,0.6141560798548075,0.6992866471498148,-0.4205686630368998
holdout,clock,False,fixed_025,87,12,0.6302970153628041,0.7021929824561408,0.7288868723532952,0.8415276584575528,-0.6359649122806992
holdout,clock,False,size_child,87,12,0.6415166509746272,0.6951808529937332,0.7608011150375498,0.8846873039739714,-0.6853567071283342
holdout,clock,False,rpl_child,87,12,0.6325382704980743,0.7015640147059201,0.7231773410612732,0.8318200445186383,-0.6159817362534266
holdout,clock,False,reverse_control,87,12,0.7663227477820778,0.8019138755980859,0.9119727217730841,1.027619380644166,-0.8251663641863267
