split,target,bounded_target,model,rows,cells,cell_mean_mae,cell_median_mae,overall_mae,rmse,bias
external,generation,True,pure,1399,119,0.7217046715452397,0.7272727272727272,0.8754305023068424,1.0318219676265523,-0.8140879849242967
external,generation,True,relational,1399,119,0.5430125942014715,0.4394258373205747,0.5027254600859806,0.6007477821542095,-0.1450646565728759
external,generation,True,fixed_025,1399,119,0.5285050882049706,0.4576754385964903,0.5713614646141637,0.6825536371548847,-0.3730827898259515
external,generation,True,size_child,1399,119,0.5300561733374951,0.44944916432800536,0.5868084659067722,0.7045414359296643,-0.4140263518434576
external,generation,True,reverse_control,1399,119,0.8967851348526182,0.9475424097433668,1.0901977147039412,1.247938278221306,-1.066588232879945
external,generation,False,pure,1399,119,0.8395837248594941,0.7272727272727272,1.0922087205146533,1.394311339746694,-1.0308662031321072
external,generation,False,relational,1399,119,0.6608916475157259,0.5257177033492814,0.7195036782937912,0.959716322844091,-0.36184287478068666
external,generation,False,fixed_025,1399,119,0.646384141519225,0.499601275917066,0.7881396828219742,1.0649704546384589,-0.5898610080337623
external,generation,False,size_child,1399,119,0.6479352266517495,0.4949915779599993,0.803586684114583,1.0859853740191274,-0.6308045700512683
external,generation,False,reverse_control,1399,119,1.014664188166873,0.9475424097433668,1.3069759329117518,1.6171574447542556,-1.2833664510877556
external,clock,True,pure,1399,119,0.6706601411717992,0.5722488038277493,0.8006033017432131,0.9732022351158196,-0.7125130390470287
external,clock,True,relational,1399,119,0.6353297660860114,0.6315789473684204,0.576772882886272,0.687470392513026,-0.04348971069560794
external,clock,True,fixed_025,1399,119,0.5874740899337901,0.5657894736842102,0.5974511869380378,0.7158501796932848,-0.2715078439486835
external,clock,True,size_child,1399,119,0.5857773163177455,0.5491863154451665,0.6058285039779987,0.7310873594491801,-0.3124514059661897
external,clock,True,reverse_control,1399,119,0.8096643649024757,0.7001594896331708,0.9825049334623837,1.147711983045945,-0.9650132870026773
external,clock,False,pure,1399,119,0.7467394961285171,0.5722488038277493,0.9185823093050048,1.1957152478512874,-0.8304920466088205
external,clock,False,relational,1399,119,0.7114091210427294,0.6315789473684205,0.6947518904480637,0.9032298731083676,-0.16146871825739972
external,clock,False,fixed_025,1399,119,0.663553444890508,0.5657894736842102,0.7154301944998296,0.9545866705016917,-0.3894868515104753
external,clock,False,size_child,1399,119,0.6618566712744635,0.5491863154451665,0.7238075115397907,0.9697096864245208,-0.4304304135279815
external,clock,False,reverse_control,1399,119,0.8857437198591935,0.7001594896331708,1.1004839410241753,1.3705975659999148,-1.082992294564469
